"Identificador URL";"Nome";"Categorias";"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";"Preço";"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"Código de barras";"Exibir na loja";"Frete gratis";"Descrição";"Tags";"Título para SEO";"Descrição para SEO";"Marca";"Produto Físico";"MPN (Cód. Exclusivo Modelo Fabricante)";"Sexo";"Faixa etária";"Custo"
"buque-10-colombianas-e-astromelias";"Buquê 10 colombianas e astromelias";"Buques";"";"";"";"";"";"";"259.90";"";"";"";"";"";"";"5015";"";"SIM";"NÃO";"Buquê 10 colombianas importadas e astromelia No papel kraft A cor da astromelia pode alterar de acordo com a disponibilidade em estoque";"floricultura, buques";"Buquê 10 colombianas e astromelias";"Buquê 10 colombianas importadas e astromelia No papel kraft A cor da astromelia pode alterar de acordo com a disponibilidade em estoque";"Praça Das Flores";"SIM";"";"";"";""
"buque-12-colombianas-e-6-ferrero-rocher";"Buquê 12 Colombianas e 6 Ferrero Rocher";"Buques";"";"";"";"";"";"";"459.90";"";"";"";"";"";"";"5406";"";"SIM";"NÃO";"Buquê com 12 Colombianas e 6 Ferrero Rocher";"floricultura, buques";"Buquê 12 Colombianas e 6 Ferrero Rocher";"Buquê com 12 Colombianas e 6 Ferrero Rocher";"Praça Das Flores";"SIM";"";"";"";""
"buque-12-colombianas-esplendor";"Buquê 12 Colombianas Esplendor";"Buques";"";"";"";"";"";"";"229.90";"";"";"";"";"";"";"2810";"";"SIM";"NÃO";"Buquê com 12 Rosas Colombianas, acompanhado de folhagem especial tradicional, embalado em papel celofane especial com acabamento em laço de rafia. Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 12 Colombianas Esplendor";"Buquê com 12 Rosas Colombianas, acompanhado de folhagem especial tradicional, embalado em papel celofane especial com acabamento em laço de rafia. Gostou? Então";"Praça Das Flores";"SIM";"";"";"";""
"buque-12-rosas-amarelas";"Buquê 12 Rosas Amarelas";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"4110";"";"SIM";"NÃO";"Lindo Buquê 12 Rosas Amarelas, embalado em papel celofane e laço decorativo. Surpreenda a pessoa querida com este lindo buquê. Dimensões Aproximadas: Largura: 22cm x Altura: 26cm Gostou? Então confira outros modelos de Buquês de Rosas .";"floricultura, buques";"Buquê 12 Rosas Amarelas";"Lindo Buquê 12 Rosas Amarelas, embalado em papel celofane e laço decorativo. Surpreenda a pessoa querida com este lindo buquê. Dimensões Aproximadas: Largura: 2";"Praça Das Flores";"SIM";"";"";"";""
"buque-12-rosas-brancas-kraft";"Buquê 12 Rosas Brancas Kraft";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"3215";"";"SIM";"NÃO";"Lindo buquê com 12 rosas Brancas embalados no papel Kraft com laço de fita. Gostou? Então confira outros modelos de Buquês de Rosas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 12 Rosas Brancas Kraft";"Lindo buquê com 12 rosas Brancas embalados no papel Kraft com laço de fita. Gostou? Então confira outros modelos de Buquês de Rosas e surpreenda com um presente";"Praça Das Flores";"SIM";"";"";"";""
"buque-12-rosas-eu-te-amo";"Buquê 12 Rosas Eu Te Amo";"Buques";"";"";"";"";"";"";"169.90";"";"";"";"";"";"";"3382";"";"SIM";"NÃO";"Lindo Buquê com 12 rosas e mensagem Eu TE AMO Gostou? Então confira outros modelos de Buquês de Rosas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 12 Rosas Eu Te Amo";"Lindo Buquê com 12 rosas e mensagem Eu TE AMO Gostou? Então confira outros modelos de Buquês de Rosas e surpreenda com um presente belíssimo.";"Praça Das Flores";"SIM";"";"";"";""
"buque-18-colombianas-fascinio-em-tela";"Buquê 18 Colombianas Fascínio em Tela";"Buques";"";"";"";"";"";"";"389.90";"";"";"";"";"";"";"3240";"";"SIM";"NÃO";"As Rosas Colombianas são consideradas as a Rainha de todas as Rosas, consideradas o simbolo da paixão e da beleza, tem grande destaque pelo seu tamanho incomum. Em embalagem extremamente luxuoso de tela aramada, é o presente ideal para datas mais que especiais. Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 18 Colombianas Fascínio em Tela";"As Rosas Colombianas são consideradas as a Rainha de todas as Rosas, consideradas o simbolo da paixão e da beleza, tem grande destaque pelo seu tamanho incomum.";"Praça Das Flores";"SIM";"";"";"";""
"buque-20-rosas-colombianas-esplendor";"Buquê 20 Rosas Colombianas Esplendor";"Buques";"";"";"";"";"";"";"400.00";"";"";"";"";"";"";"2637";"";"SIM";"NÃO";"Esplendor de vinte rosas colombianas e um sofisticado e inesquecível buquê. Em sofisticado papel transparente, realça a beleza e a delicadeza das rosas. Para quem gosta de surpreender e se tornar inesquecível na arte de presentear! Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 20 Rosas Colombianas Esplendor";"Esplendor de vinte rosas colombianas e um sofisticado e inesquecível buquê. Em sofisticado papel transparente, realça a beleza e a delicadeza das rosas. Para qu";"Praça Das Flores";"SIM";"";"";"";""
"buque-3-rosas-champanhe";"BUquê 3 Rosas Champanhe";"Buques";"";"";"";"";"";"";"49.90";"";"";"";"";"";"";"5236";"";"SIM";"NÃO";"Buquê com 3 Rosas Champanhe- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Champanhe, com folhagens e detalhes de mosquitinho, finalizado com papel celofane e laço de fita. Ideal para demonstrar amor, carinho e admiração em qualquer ocasião especial. Observação: as flores podem apresentar variações de tonalidade e estágio de abertura conforme a disponibilidade e a sazonalidade";"floricultura, buques";"BUquê 3 Rosas Champanhe";"Buquê com 3 Rosas Champanhe- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Champanhe, com folhagens e detalhes de m";"Praça Das Flores";"SIM";"";"";"";""
"buque-3-rosas-cor-de-rosa";"Buquê 3 Rosas Cor de Rosa";"Buques";"";"";"";"";"";"";"49.90";"";"";"";"";"";"";"5235";"";"SIM";"NÃO";"Buquê com 3 Rosas Cor de Rosa- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Cor de Rosa, com folhagens e detalhes de mosquitinho, finalizado com papel celofane e laço de fita. Ideal para demonstrar amor, carinho e admiração em qualquer ocasião especial. Observação: as flores podem apresentar variações de tonalidade e estágio de abertura conforme a disponibilidade e a sazonalidade";"floricultura, buques";"Buquê 3 Rosas Cor de Rosa";"Buquê com 3 Rosas Cor de Rosa- Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Cor de Rosa, com folhagens e detalhes ";"Praça Das Flores";"SIM";"";"";"";""
"buque-3-rosas-pink";"Buquê 3 Rosas Pink";"Buques";"";"";"";"";"";"";"49.90";"";"";"";"";"";"";"5234";"";"SIM";"NÃO";"Buquê com 3 Rosas Pink - Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Pink, com folhagens e detalhes de mosquitinho, finalizado com papel celofane e laço de fita. Ideal para demonstrar amor, carinho e admiração em qualquer ocasião especial. Observação: as flores podem apresentar variações de tonalidade e estágio de abertura conforme a disponibilidade e a sazonalidade";"floricultura, buques";"Buquê 3 Rosas Pink";"Buquê com 3 Rosas Pink - Celofane e Laço de Fita Clássico e cheio de significado, este buquê é composto por 3 rosas Pink, com folhagens e detalhes de mosquitinh";"Praça Das Flores";"SIM";"";"";"";""
"buque-30-rosas-colombianas";"Buquê 30 Rosas Colombianas";"Buques";"";"";"";"";"";"";"599.90";"";"";"";"";"";"";"5086";"";"SIM";"NÃO";"Buquê com 30 Rosas Colombianas Vermelhas, folhagens, em embalagem exclusiva Praça Das Flores. Um clássico que traduz amor, paixão e elegância em cada pétala. Nossas rosas colombianas são selecionadas pela beleza e durabilidade, criando um presente marcante e inesquecível. Presenteie com o símbolo máximo do amor, perfeito para datas especiais ou para surpreender quem faz seu coração bater mais forte. Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 30 Rosas Colombianas";"Buquê com 30 Rosas Colombianas Vermelhas, folhagens, em embalagem exclusiva Praça Das Flores. Um clássico que traduz amor, paixão e elegância em cada pétala. No";"Praça Das Flores";"SIM";"";"";"";""
"buque-36-colombianas-especial";"Buquê 36 Colombianas Especial";"Buques";"";"";"";"";"";"";"749.90";"";"";"";"";"";"";"3283";"";"SIM";"NÃO";"Este é um inesquecível e surpreendente buquê composto por 36 Rosas Vermelhas Colombianas e folhagens . Embalado finamente em uma embalagem especial personalizada, com uma tela aramada e uma flor por fora da embalagem. Laço de fita finaliza e da mais sofisticação a este belíssimo presente. Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 36 Colombianas Especial";"Este é um inesquecível e surpreendente buquê composto por 36 Rosas Vermelhas Colombianas e folhagens . Embalado finamente em uma embalagem especial personalizad";"Praça Das Flores";"SIM";"";"";"";""
"buque-4-rosas-colombianas-no-kraft";"Buquê 4 Rosas Colombianas no Kraft";"Buques";"";"";"";"";"";"";"129.90";"";"";"";"";"";"";"3058";"";"SIM";"NÃO";"Floricultura Praça Das Flores: Buquê em papel Kraft com quatro rosas colombianas Dimensões Aproximadas 26cmL x 30cmL Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 4 Rosas Colombianas no Kraft";"Floricultura Praça Das Flores: Buquê em papel Kraft com quatro rosas colombianas Dimensões Aproximadas 26cmL x 30cmL Gostou? Então confira outros modelos de Buq";"Praça Das Flores";"SIM";"";"";"";""
"buque-50-rosas-colombianas";"Buquê 50 Rosas Colombianas";"Buques";"";"";"";"";"";"";"989.90";"";"";"";"";"";"";"4656";"";"SIM";"NÃO";"BUQUÊ DE 50 ROSAS COLOMBIANAS VERMELHAS COM GYPSOPHILA é o presente perfeito para você expressar todo o amor por aquela pessoa querida, sendo uma ótima opção de presente para o seu amor, aniversário de alguém especial, declaração de amor ou aniversário do relacionamento. É só escolher a data da entrega e espalhar o amor !!! Esse incrível presente é composto por 36 rosas vermelhas mescladas com as delicadas Gypsophilas brancas, criando um visual único e bem diferenciado para o seu presente. É ou não é o presente perfeito para demonstrar o tamanho do seu amor? Dimensões Aproximadas: Largura: 35cm x Altura: 35cm Gostou? Então aproveite para conferir outros modelos de Buquês de Rosas Colombianas .";"floricultura, buques";"Buquê 50 Rosas Colombianas";"BUQUÊ DE 50 ROSAS COLOMBIANAS VERMELHAS COM GYPSOPHILA é o presente perfeito para você expressar todo o amor por aquela pessoa querida, sendo uma ótima opção de";"Praça Das Flores";"SIM";"";"";"";""
"buque-6-colombianas-e-pelucia-super-fofinha";"Buquê 6 Colombianas e Pelúcia Super Fofinha";"Buques";"";"";"";"";"";"";"195.90";"";"";"";"";"";"";"5023";"";"SIM";"NÃO";"Lindo buquê de 6 rosas vermelhas colombianas importadas, composta com folhagem verdes finamente embalada em papel Kraft. Acompanha um Urso de Pelúcia Super Fofinho e Macio Dimensões Aproximadas do Buquê de Rosas 28/30 cm A x 30cm Diâmetro Dimensões Aproximadas do Ursinho 18 cm A Somente como informação a foto é ilustrativa, pois o Ursinho de Pelucia vai embalado para presente separado das flores. Gostou? Então confira outros modelos de Flores e Pelúcias e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 6 Colombianas e Pelúcia Super Fofinha";"Lindo buquê de 6 rosas vermelhas colombianas importadas, composta com folhagem verdes finamente embalada em papel Kraft. Acompanha um Urso de Pelúcia Super Fofi";"Praça Das Flores";"SIM";"";"";"";""
"buque-6-rosas-brancas-e-vermelhas";"Buquê 6 Rosas Brancas e Vermelhas";"Buques";"";"";"";"";"";"";"89.90";"";"";"";"";"";"";"3081";"";"SIM";"NÃO";"Buquê com três rosas brancas e três rosas vermelhas No papel celofane com laço de fita Gostou? Então aproveite para conferir outros modelos de Buquês de Rosas .";"floricultura, buques";"Buquê 6 Rosas Brancas e Vermelhas";"Buquê com três rosas brancas e três rosas vermelhas No papel celofane com laço de fita Gostou? Então aproveite para conferir outros modelos de Buquês de Rosas .";"Praça Das Flores";"SIM";"";"";"";""
"buque-6-rosas-colombianas-te-amo";"Buquê 6 Rosas Colombianas Te Amo";"Buques";"";"";"";"";"";"";"129.90";"";"";"";"";"";"";"3965";"";"SIM";"NÃO";"Este lindo buquê com 6 rosas colombianas e plaquinha Te Amo é um ótimo presente para alegrar o dia da pessoa querida. Surpreenda com este presente e deixe um dia ser inesquecível. Confira outros modelos de Presentes Românticos na nossa seleção de Flores para o Dia dos Namorados";"floricultura, buques";"Buquê 6 Rosas Colombianas Te Amo";"Este lindo buquê com 6 rosas colombianas e plaquinha Te Amo é um ótimo presente para alegrar o dia da pessoa querida. Surpreenda com este presente e deixe um di";"Praça Das Flores";"SIM";"";"";"";""
"buque-7-colombianas-premium";"Buquê 7 Colombianas Premium";"Buques";"";"";"";"";"";"";"199.90";"";"";"";"";"";"";"3308";"";"SIM";"NÃO";"Buquê Premium com 7 Colombianas embalado em papel celofane e tela aramada Embalagem diferenciada e super sofisticada Certeza de encantar, surpreender e alegrar aqueles que queremos bem... Ideal para presentear em qualquer ocasião Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 7 Colombianas Premium";"Buquê Premium com 7 Colombianas embalado em papel celofane e tela aramada Embalagem diferenciada e super sofisticada Certeza de encantar, surpreender e alegrar ";"Praça Das Flores";"SIM";"";"";"";""
"buque-7-galhos-de-astromelia-colorida";"Buquê 7 Galhos de Astromelia Colorida";"Buques";"";"";"";"";"";"";"89.90";"";"";"";"";"";"";"4721";"";"SIM";"NÃO";"Buquê de astromélias coloridas, uma opção linda e delicada, perfeita pra qualquer ocasião! Embalagem exclusiva para presente Praça Das Flores. A tonalidade das flores poderão sofrer alteração conforme a disponibilidade em estoque e época da estação. Dimensões Aproximadas 20 cm L x 25 cm A Gostou? Então confira outros modelos de Buquês de Flores do Campo e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê 7 Galhos de Astromelia Colorida";"Buquê de astromélias coloridas, uma opção linda e delicada, perfeita pra qualquer ocasião! Embalagem exclusiva para presente Praça Das Flores. A tonalidade das ";"Praça Das Flores";"SIM";"";"";"";""
"buque-amor-paixao-com-12-colombianas";"Buquê Amor Paixão com 12 Colombianas";"Buques";"";"";"";"";"";"";"249.90";"";"";"";"";"";"";"3080";"";"SIM";"NÃO";"Maravilhoso buquê com 12 rosas colombianas importadas Embaladas em papel celofane transparente e laço de ráfia Uma certeza de encantar e surpreender sempre ! Gostou? Então confira outros modelos de Buquês de Rosas Colombianas e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê Amor Paixão com 12 Colombianas";"Maravilhoso buquê com 12 rosas colombianas importadas Embaladas em papel celofane transparente e laço de ráfia Uma certeza de encantar e surpreender sempre ! Go";"Praça Das Flores";"SIM";"";"";"";""
"buque-aniversariante-colorido";"Buquê Aniversariante colorido";"Buques";"";"";"";"";"";"";"79.90";"";"";"";"";"";"";"5399";"";"SIM";"NÃO";"Buquê com seis rosas nacionais coloridas, embalado com papel celofane e laço de fita. Acompanha Mensagem de Aniversário.";"floricultura, buques";"Buquê Aniversariante colorido";"Buquê com seis rosas nacionais coloridas, embalado com papel celofane e laço de fita. Acompanha Mensagem de Aniversário.";"Praça Das Flores";"SIM";"";"";"";""
"buque-aniversario-com-6-rosas";"Buquê Aniversário com 6 Rosas";"Buques";"";"";"";"";"";"";"94.90";"";"";"";"";"";"";"5398";"";"SIM";"NÃO";"Buquê com seis rosas nacionais, embalado com papel celofane e laço de fita. Acompanha Mensagem de Aniversário. Na falta de algum item, o mesmo será substituído por um equivalente.";"floricultura, buques";"Buquê Aniversário com 6 Rosas";"Buquê com seis rosas nacionais, embalado com papel celofane e laço de fita. Acompanha Mensagem de Aniversário. Na falta de algum item, o mesmo será substituído ";"Praça Das Flores";"SIM";"";"";"";""
"buque-colorido";"Buquê Colorido";"Buques";"";"";"";"";"";"";"89.90";"";"";"";"";"";"";"3733";"";"SIM";"NÃO";"Para transformar o dia de quem você ama, o buquê com 6 rosas coloridas é o presente ideal, a melhor forma para demonstrar o seu sentimento e ainda alegrar o dia de quem você ama. Buquê com 6 rosas coloridas embalado em papel celofane e laço de fita Embalagem exclusiva Praça Das Flores As cores das rosas podem variar de acordo com a disponibilidade da época. FOTO SOMENTE ILUSTRATIVA AS CORES DAS FLORES PODERÃO SER ALTERADAS CONFORME DISPONIBILIDADE DA ÉPOCA. Dimensões aproximadas 25cm de diâmetro x 35 cm de altura. Gostou? Então confira outros modelos de Buquês de Rosas .";"floricultura, buques";"Buquê Colorido";"Para transformar o dia de quem você ama, o buquê com 6 rosas coloridas é o presente ideal, a melhor forma para demonstrar o seu sentimento e ainda alegrar o dia";"Praça Das Flores";"SIM";"";"";"";""
"buque-com-12-colombianas-e-ferrero-rocher";"Buquê com 12 Colombianas e Ferrero Rocher";"Buques";"";"";"";"";"";"";"329.90";"";"";"";"";"";"";"4358";"";"SIM";"NÃO";"Floricultura Praça Das Flores - Lindo buquê com 12 rosas colombianas e folhagem embalado em papel celofane com delicado laço de fita, acompanhado de uma caixa de chocolate Ferrero Rocher com 12 unidades. Embalagem exclusiva para presente Praça Das Flores Gostou? Então confira outros modelos de Flores e Chocolates e surpreenda com um presente belíssimo.";"floricultura, buques";"Buquê com 12 Colombianas e Ferrero Rocher";"Floricultura Praça Das Flores - Lindo buquê com 12 rosas colombianas e folhagem embalado em papel celofane com delicado laço de fita, acompanhado de uma caixa d";"Praça Das Flores";"SIM";"";"";"";""
"buque-com-12-colombianas-na-tela-aramada";"Buquê com 12 Colombianas na Tela Aramada";"Buques";"";"";"";"";"";"";"289.90";"";"";"";"";"";"";"3469";"";"SIM";"NÃO";"Rosas Colombianas são únicas e de beleza superior. O botão de uma rosa colombiana é maior do que de uma rosa nacional, a durabilidade também é maior. E como um todo, a rosa colombiana é de qualidade superior, por isso os arranjos confeccionados com elas sempre ficam exuberantes! Este é um lindo buquê feito na tela aramada com 12 rosas colombianas Ideal para presentear em qualquer ocasião A embalagem poderá variar de acordo com a disponibilidade em estoque. Gostou? Então confira outros modelos de Buquês de Rosas Colombianas .";"floricultura, buques";"Buquê com 12 Colombianas na Tela Aramada";"Rosas Colombianas são únicas e de beleza superior. O botão de uma rosa colombiana é maior do que de uma rosa nacional, a durabilidade também é maior. E como um ";"Praça Das Flores";"SIM";"";"";"";""
